Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Route Type,Road Name,Cross-Street Type,Cross-Street Name,Off-Road Description,Municipality,Related Non-Motorist,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,Person ID,Pedestrian Type,Pedestrian Movement,Pedestrian Actions,Pedestrian Location,Pedestrian Obeyed Traffic Signal,Pedestrian Visibility,At Fault,Injury Severity,Safety Equipment,Latitude,Longitude,Location
MCP2563001M,230022301,Montgomery County Police,Fatal Crash,05/09/2023 08:53:00 PM,County,WISTERIA DR,Maryland (State),GREAT SENECA HWY,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,UNKNOWN,9EA094C1-DA2A-45B4-95FD-7EF87F0CCAED,PEDESTRIAN,Cross/Enter not at Intersection,DART DASH,ON ROADWAY NOT AT CROSSWALK,N/A,MIXED CLOTHING,Yes,FATAL INJURY,NONE,39.17123833,-77.26280833,"(39.17123833, -77.26280833)"
EJ785600BZ,230047508,Gaithersburg Police Depar,Injury Crash,08/02/2023 06:37:00 PM,Municipality,KENTLANDS BLVD,Municipality,MARKET ST,,GAITHERSBURG,PEDESTRIAN,OTHER,CLOUDY,DRY,DAYLIGHT,STOP SIGN,N/A,N/A,A931C563-4A9D-486A-8025-A0ACE268A27F,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,N/A,LIGHT CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.1232753,-77.2360439,"(39.1232753, -77.2360439)"
MCP23390086,230022456,Montgomery County Police,Injury Crash,05/10/2023 05:01:00 PM,Municipality,E GUDE DR,Municipality,TAFT ST,,ROCKVILLE,PEDESTRIAN,OTHER,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,7966200F-DECD-469A-AF74-BFCDDC41F42A,PEDESTRIAN,Walking/Cycling on Sidewalk,NO IMPROPER ACTIONS,SIDEWALK,N/A,UNKNOWN,No,POSSIBLE INJURY,N/A,39.09669446,-77.1353897,"(39.09669446, -77.1353897)"
MCP2940006N,230046969,Montgomery County Police,Injury Crash,07/30/2023 02:25:00 PM,County,BANNOCKBURN DR,County,MACARTHUR BLVD,,N/A,BICYCLIST,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,C5A5F9D9-0742-4C7D-878C-6231430DC44F,BICYCLIST,Walking/Riding w/Traffic,N/A,OTHER,NO PED. SIGNAL,LIGHT CLOTHING,No,SUSPECTED MINOR INJURY,MC/BIKE HELMET,38.97293233,-77.1414305,"(38.97293233, -77.1414305)"
MCP2001001Z,230014394,Montgomery County Police,Fatal Crash,03/25/2023 01:47:00 AM,US (State),COLUMBIA PIKE,County,HILLWOOD DR,,N/A,PEDESTRIAN,SINGLE VEHICLE,RAINING,WET,DARK LIGHTS ON,NO CONTROLS,N/A,ALCOHOL PRESENT,44325907-656B-4816-A845-EA86031CF450,PEDESTRIAN,Walking/Riding w/Traffic,IN ROADWAY IMPROPERLY,ON ROADWAY NOT AT CROSSWALK,N/A,DARK CLOTHING,Yes,FATAL INJURY,N/A,39.03240511,-77.00350933,"(39.03240511, -77.00350933)"
EJ7809003W,230034946,Gaithersburg Police Depar,Injury Crash,07/22/2023 05:01:00 PM,County,N SUMMIT AVE,Municipality,PARK AVE,,GAITHERSBURG,OTHER CONVEYANCE,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,UNKNOWN,74B7E523-1A69-45EE-B142-7882EBAB01EC,OTHER CONVEYANCE,Walking/Riding w/Traffic,OTHER,ON ROADWAY NOT AT CROSSWALK,N/A,DARK CLOTHING,Unknown,SUSPECTED MINOR INJURY,NONE,39.14494278,-77.19249225,"(39.14494278, -77.19249225)"
MCP3010008D,230034715,Montgomery County Police,Injury Crash,07/21/2023 09:30:00 AM,Maryland (State),WISCONSIN AVE,County,BETHESDA AVE,,N/A,OTHER PEDALCYCLIST,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,N/A,N/A,4F828545-234A-4497-B435-E3E8A35146C7,OTHER PEDALCYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,OBEYED PED. SIGNAL,DARK CLOTHING,No,SUSPECTED MINOR INJURY,MC/BIKE HELMET,38.98119833,-77.09230667,"(38.98119833, -77.09230667)"
MCP26080054,230035307,Montgomery County Police,Property Damage Crash,07/24/2023 09:16:00 PM,US (State),COLESVILLE RD,County,TIMBERWOOD AVE,,N/A,OTHER CONVEYANCE,HEAD ON,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,N/A,12FA9EE7-3D9E-4FCA-8ECA-E0C888CEF804,OTHER CONVEYANCE,N/A,NO IMPROPER ACTIONS,CURB,N/A,N/A,No,NO APPARENT INJURY,N/A,39.02419833,-77.011125,"(39.02419833, -77.011125)"
MCP3255004V,230033617,Montgomery County Police,Injury Crash,07/14/2023 05:32:00 PM,Municipality,WASHINGTONIAN BLVD,Unknown,ENT. TO WASHINGTONIAN CENTER,,N/A,PEDESTRIAN,SINGLE VEHICLE,RAINING,WET,DAYLIGHT,STOP SIGN,N/A,N/A,FAE81B70-1CAA-4CA2-9031-5C3F1CD55B57,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,LIGHT CLOTHING,No,SUSPECTED MINOR INJURY,N/A,39.11871562,-77.20252175,"(39.11871562, -77.20252175)"
MCP3255004V,230033617,Montgomery County Police,Injury Crash,07/14/2023 05:32:00 PM,Municipality,WASHINGTONIAN BLVD,Unknown,ENT. TO WASHINGTONIAN CENTER,,N/A,PEDESTRIAN,SINGLE VEHICLE,RAINING,WET,DAYLIGHT,STOP SIGN,N/A,N/A,7BC11752-5A89-48DE-8A14-5B1B2D028054,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,N/A,39.11871562,-77.20252175,"(39.11871562, -77.20252175)"
MCP3053006J,230028673,Montgomery County Police,Injury Crash,06/14/2023 07:25:00 PM,,,,,11160 VEIRS MILL RD PARKING LOT OF LA FITNESS,,PEDESTRIAN,OTHER,N/A,,DAYLIGHT,NO CONTROLS,UNKNOWN,N/A,C5436586-26D4-4224-9F74-FEC7C44C3103,PEDESTRIAN,Standing,UNKNOWN,OTHER,NO PED. SIGNAL,UNKNOWN,No,POSSIBLE INJURY,N/A,39.03608129,-77.05070976,"(39.03608129, -77.05070976)"
MCP3353001G,230048526,Montgomery County Police,Injury Crash,08/09/2023 10:01:00 AM,County,LLOYDMINSTER DR,County,FALCONBRIDGE TERR,,N/A,PEDESTRIAN,SINGLE VEHICLE,N/A,N/A,DAYLIGHT,STOP SIGN,N/A,N/A,5524CD55-82ED-4443-9B75-DC956FFA5E8D,PEDESTRIAN,Walking/Riding against Traffic,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,N/A,N/A,No,SUSPECTED MINOR INJURY,N/A,39.10661233,-77.26357183,"(39.10661233, -77.26357183)"
MCP2177004S,230046972,Montgomery County Police,Injury Crash,07/30/2023 02:40:00 PM,Municipality,RUSSELL AVE,Unknown,SPUR TO ODENDHAL AVE,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,N/A,NONE DETECTED,NONE DETECTED,E688F882-C73E-4F32-84FF-B8ABD359ACE5,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,N/A,39.15050159,-77.2043814,"(39.15050159, -77.2043814)"
MCP3296001Z,230048305,Montgomery County Police,Injury Crash,08/07/2023 08:30:00 PM,,,,,PARKING LOT OF 3904 BLACKBURN LN,,PEDESTRIAN,SINGLE VEHICLE,RAINING,,DARK NO LIGHTS,NO CONTROLS,NONE DETECTED,NONE DETECTED,A0485B46-CD81-4D38-AA6D-261B8F0CD36F,PEDESTRIAN,Cross/Enter not at Intersection,NOT VISIBLE,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,Yes,POSSIBLE INJURY,NONE,39.10491217,-76.93036733,"(39.10491217, -76.93036733)"
EJ7888004P,230047197,Gaithersburg Police Depar,Injury Crash,07/31/2023 05:44:00 PM,,CHEYENNE RD,,OLD QUINCE ORCHARD RD,,N/A,BICYCLIST,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,UNKNOWN,NONE DETECTED,11C05DE0-1045-4460-AE27-49FB5A3EE444,BICYCLIST,Cross/Enter not at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION BUT NO CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,No,SUSPECTED MINOR INJURY,MC/BIKE HELMET,39.12487064,-77.24742854,"(39.12487064, -77.24742854)"
DD559500DR,230047919,Rockville Police Departme,Injury Crash,08/05/2023 08:55:00 AM,,,,,PARKING LOT OF 50 W. EDMONSTON DR,,BICYCLIST,OTHER,CLOUDY,,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,3C54BB1C-6A9C-4FD8-9BEE-7234F8B1E5C6,BICYCLIST,Walking/Cycling on Sidewalk,NO IMPROPER ACTIONS,OTHER,NO PED. SIGNAL,DARK CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.07392417,-77.13527917,"(39.07392417, -77.13527917)"
MCP3276002R,230047889,Montgomery County Police,Injury Crash,08/04/2023 11:30:00 PM,Maryland (State),UNIVERSITY BLVD E,County,BUCKINGHAM DR,,N/A,PEDESTRIAN,OTHER,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,UNKNOWN,UNKNOWN,860653DD-F153-440F-A2CB-C19302DD8DF2,PEDESTRIAN,Unknown,UNKNOWN,ON ROADWAY NOT AT CROSSWALK,N/A,DARK CLOTHING,Unknown,SUSPECTED SERIOUS INJURY,NONE,39.00661129,-76.99764611,"(39.00661129, -76.99764611)"
MCP2348006F,230012796,Montgomery County Police,Fatal Crash,03/16/2023 01:28:00 PM,US (State),COLUMBIA PIKE,County,STEWART LA,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,B7541278-BD7C-4E05-9056-50239D5CACAD,PEDESTRIAN,Cross/Enter at Intersection,FAILURE TO OBEY TRAFFIC SIGNS SIGNALS OR OFFICER,ON ROADWAY AT CROSSWALK,DISOBEYED PED. SIGNAL,MIXED CLOTHING,Yes,FATAL INJURY,NONE,39.04653583,-76.98675402,"(39.04653583, -76.98675402)"
MCP2612005D,230047688,Montgomery County Police,Injury Crash,08/03/2023 11:30:00 AM,County,RANDOLPH RD,Maryland (State),VEIRS MILL RD,,N/A,PEDESTRIAN,UNKNOWN,CLOUDY,DRY,DAYLIGHT,UNKNOWN,UNKNOWN,UNKNOWN,BC92E6A5-C745-441C-8550-22E9119074B5,PEDESTRIAN,Unknown,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Unknown,SUSPECTED MINOR INJURY,UNKNOWN,39.05617734,-77.08262173,"(39.05617734, -77.08262173)"
MCP2177004T,230047959,Montgomery County Police,Injury Crash,08/05/2023 01:48:00 PM,,,,,PARKING LOT OF 880 RUSSELL AVENUE,,PEDESTRIAN,SINGLE VEHICLE,CLOUDY,,DAYLIGHT,N/A,NONE DETECTED,N/A,46AD2293-DB7E-4CE6-BF15-9EEF1DB170B5,PEDESTRIAN,Other,OTHER,OTHER,N/A,MIXED CLOTHING,Unknown,POSSIBLE INJURY,N/A,39.15639822,-77.21397835,"(39.15639822, -77.21397835)"
MCP24450052,230047596,Montgomery County Police,Injury Crash,08/03/2023 10:34:00 AM,Maryland (State),FREDERICK RD,County,OXBRIDGE DR,,N/A,PEDESTRIAN,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,UNKNOWN,NONE DETECTED,D6FAD665-F025-42F7-AB70-BA2FA44B2330,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.190056,-77.24168117,"(39.190056, -77.24168117)"
MCP3353001G,230048526,Montgomery County Police,Injury Crash,08/09/2023 10:01:00 AM,County,LLOYDMINSTER DR,County,FALCONBRIDGE TERR,,N/A,PEDESTRIAN,SINGLE VEHICLE,N/A,N/A,DAYLIGHT,STOP SIGN,N/A,N/A,8F0BCDAF-DE1D-4C98-82CF-2013A609DE54,PEDESTRIAN,Walking/Riding against Traffic,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,N/A,N/A,No,NO APPARENT INJURY,N/A,39.10661233,-77.26357183,"(39.10661233, -77.26357183)"
MCP3170003C,230048102,Montgomery County Police,Injury Crash,08/06/2023 04:53:00 PM,Maryland (State),GERMANTOWN RD,County,CRYSTAL ROCK DR,,N/A,BICYCLIST,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,N/A,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,4398C386-C9E5-4A5B-8EBC-0ED082E90511,BICYCLIST,Cross/Enter at Intersection,FAILURE TO YIELD RIGHT OF WAY,ON ROADWAY NOT AT CROSSWALK,DISOBEYED PED. SIGNAL,MIXED CLOTHING,Yes,SUSPECTED MINOR INJURY,NONE,39.18094231,-77.26247228,"(39.18094231, -77.26247228)"
MCP22030074,230049162,Montgomery County Police,Injury Crash,08/12/2023 05:25:00 PM,Maryland (State),UNIVERSITY BLVD W,Government,SLIGO CREEK PKWY,,N/A,OTHER,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,N/A,NONE DETECTED,NONE DETECTED,E282183A-10E3-4549-958D-40EED77809FE,OTHER,Push/Work on Vehicle,NO IMPROPER ACTIONS,OTHER,N/A,N/A,No,SUSPECTED MINOR INJURY,N/A,39.03648167,-77.03006467,"(39.03648167, -77.03006467)"
MCP3238002K,230048389,Montgomery County Police,Property Damage Crash,08/08/2023 12:43:00 PM,Maryland (State),COLESVILLE RD,Maryland (State),GEORGIA AVE,,N/A,PEDESTRIAN,N/A,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,981FD729-F895-4369-89F5-D80C09A2D8FE,PEDESTRIAN,Other,OTHER,SIDEWALK,N/A,N/A,No,NO APPARENT INJURY,NONE,38.99574233,-77.02836717,"(38.99574233, -77.02836717)"
MCP9301004L,230050284,Montgomery County Police,Injury Crash,08/19/2023 08:00:00 PM,Maryland (State),W DIAMOND AVE,Municipality,BUREAU DR,,GAITHERSBURG,BICYCLIST,OTHER,N/A,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,N/A,N/A,F03757DD-014A-4723-852E-9187E9283F26,BICYCLIST,Walking/Riding against Traffic,IN ROADWAY IMPROPERLY,ON ROADWAY AT CROSSWALK,OTHER,DARK CLOTHING,Yes,SUSPECTED MINOR INJURY,NONE,39.14180941,-77.21738014,"(39.14180941, -77.21738014)"
MCP28980042,23050265,Montgomery County Police,Property Damage Crash,08/19/2023 04:07:00 PM,,,,,PARKING LOT OF 19721 FREDERICK RD GERMANTOWN MD,,BICYCLIST,STRAIGHT MOVEMENT ANGLE,CLEAR,,DAYLIGHT,NO CONTROLS,N/A,N/A,5DB74E8C-6540-4BE6-A934-28A43765D307,BICYCLIST,Cross/Enter not at Intersection,NO IMPROPER ACTIONS,OTHER,NO PED. SIGNAL,DARK CLOTHING,No,NO APPARENT INJURY,NONE,39.18009667,-77.23659333,"(39.18009667, -77.23659333)"
MCP2503001H,230050612,Montgomery County Police,Injury Crash,08/21/2023 09:23:00 PM,Maryland (State),FREDERICK RD,Municipality,KING FARM BLVD,,ROCKVILLE,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,N/A,989DEA05-F114-4114-9D25-28F84504F088,PEDESTRIAN,Cross/Enter at Intersection,FAILURE TO YIELD RIGHT OF WAY,ON ROADWAY AT CROSSWALK,DISOBEYED PED. SIGNAL,DARK CLOTHING,Yes,POSSIBLE INJURY,N/A,39.11718167,-77.16909,"(39.11718167, -77.16909)"
MCP26500016,230050435,Montgomery County Police,Injury Crash,08/20/2023 09:26:00 PM,County,HILLANDALE RD,Maryland (State),BRADLEY BLVD,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,40E0881A-7D2D-414E-8A63-0CE960474748,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,N/A,38.9778,-77.09670833,"(38.9778, -77.09670833)"
MCP2782004S,230049980,Montgomery County Police,Injury Crash,08/17/2023 06:39:00 PM,Maryland (State),GEORGIA AVE,County,KAYSON ST,,N/A,PEDESTRIAN,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,35176F48-0551-4E4A-A265-87FF8D7CAEAA,PEDESTRIAN,Unknown,NO IMPROPER ACTIONS,SIDEWALK,NO PED. SIGNAL,DARK CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.070845,-77.06336667,"(39.070845, -77.06336667)"
EJ7879003C,230048975,Gaithersburg Police Depar,Injury Crash,08/11/2023 06:00:00 PM,,,,,1 N SUMMIT DRIVE,,PEDESTRIAN,SINGLE VEHICLE,CLEAR,,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,1BEB4A89-BB27-4E48-BDAC-C321435D71E3,PEDESTRIAN,Cross/Enter at Intersection,INATTENTIVE,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,Unknown,POSSIBLE INJURY,NONE,39.14587303,-77.19194047,"(39.14587303, -77.19194047)"
MCP3200008Y,230048950,Montgomery County Police,Injury Crash,08/11/2023 01:10:00 PM,County,SLIGO AVE,County,CHICAGO AVE,,N/A,OTHER CONVEYANCE,OTHER,CLEAR,DRY,DAYLIGHT,UNKNOWN,UNKNOWN,NONE DETECTED,393AA3D8-F121-42D6-A259-28088DB9028E,OTHER CONVEYANCE,Unknown,UNKNOWN,UNKNOWN,UNKNOWN,MIXED CLOTHING,Unknown,SUSPECTED MINOR INJURY,NONE,38.99013729,-77.01976111,"(38.99013729, -77.01976111)"
MCP3000004H,230049481,Montgomery County Police,Injury Crash,08/14/2023 08:18:00 PM,County,CHARITY LA,County,RIFFLE FORD RD,,N/A,PEDESTRIAN,OTHER,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,NONE DETECTED,283737AE-5177-4E6A-A7C3-6237E13675A6,PEDESTRIAN,Walking/Riding w/Traffic,NO IMPROPER ACTIONS,SHARED USE PATH OR TRAILS,NO PED. SIGNAL,LIGHT CLOTHING,No,POSSIBLE INJURY,NONE,39.1463255,-77.28766933,"(39.1463255, -77.28766933)"
