report_number,local_case_number,agency_name,acrs_report_type,Crash_date,route_type,road_name,Cross-Street,Cross-Street Name,Related-Non-Motorist,Collision-Type,Weather,Surface_Condition,Light,Traffic_Control,Driver Substance Abuse,Non-Motorist Substance Abuse,Person ID-Driver,Driver At Fault,Injury Severity,Driver Distracted By,Drivers License State,Vehicle ID,Vehicle Damage Extent,Vehicle First Impact Location,Vehicle Second Impact Location,Vehicle Body Type,Vehicle Movement,Vehicle Continuing Dir,Vehicle Going Dir,Speed Limit,Driverless Vehicle,Parked Vehicle,Vehicle Year,Vehicle Make,Vehicle Model,Equipment Problems,Latitude,Longitude,Person ID_pedestrian,Pedestrian Type,Pedestrian Movement,Pedestrian Actions,Pedestrian Location,Pedestrian Obeyed Traffic Signal,Pedestrian Visibility,Pedestrian_At_Fault,Injury Severity_pedestrian,Related Non-Motorist,Driver Substance Abuse,Non-Motorist Substance Abuse
MCP2563001L,230017107,Montgomery County Police,Injury Crash,4/10/2023 16:21,Maryland (State),MUNCASTER MILL RD,Unknown,STRUC #15015 ROCK CREEK,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,WARNING SIGN,NONE DETECTED,NONE DETECTED,F5EB4D38-9F31-4D82-B77A-63C34A30FB1C,No,NO APPARENT INJURY,UNKNOWN,MD,CA43BD6E-D4AE-4130-BD65-08A0FF733A02,FUNCTIONAL,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,East,40,No,No,2005,TOYOTA,COROLLA,NO MISUSE,39.13764511,-77.12946041,2D1655C2-78EB-4552-899C-4C57B12B59E9,PEDESTRIAN,Cross/Enter not at Intersection,FAILURE TO YIELD RIGHT OF WAY,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,Yes,SUSPECTED SERIOUS INJURY,PEDESTRIAN,NONE DETECTED,NONE DETECTED
EJ78950044,230034533,Gaithersburg Police Depar,Injury Crash,7/20/2023 11:45,County,ODENDHAL AVE,County,GOSHEN RD,PEDESTRIAN,SAME DIRECTION RIGHT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,7F1C3B37-7E72-46E3-930D-9164673F0AD0,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,DC,2A635300-BDC8-4D34-BD37-86F4F315B672,NO DAMAGE,TWELVE OCLOCK,TWELVE OCLOCK,PICKUP TRUCK,MAKING RIGHT TURN,West,West,35,No,No,2012,FORD,F150,NO MISUSE,39.1526245,-77.19285418,EDCADAF6-CD68-43F0-9D4C-BC3E76263C0E,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,DARK CLOTHING,No,POSSIBLE INJURY,PEDESTRIAN,NONE DETECTED,NONE DETECTED
MCP2348006J,230031638,Montgomery County Police,Fatal Crash,7/3/2023 0:00,Maryland (State),NEW HAMPSHIRE AVE,Government,SLIGO CREEK PKWY,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,ALCOHOL PRESENT,UNKNOWN,6ADFBBE1-6867-4117-BD90-F29DA6F0F1BD,Unknown,POSSIBLE INJURY,UNKNOWN,DC,268409F2-B0EE-486A-B329-68BCBA78C948,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,(SPORT) UTILITY VEHICLE,UNKNOWN,South,South,35,No,No,2006,NISSAN,PATHFINDER,UNKNOWN,38.98109532,-76.98930911,805F51DF-272F-47D0-A509-AFC7E05B8594,PEDESTRIAN,Other,NO IMPROPER ACTIONS,OTHER,NO PED. SIGNAL,DARK CLOTHING,No,FATAL INJURY,PEDESTRIAN,ALCOHOL PRESENT,UNKNOWN
MCP26080054,230035307,Montgomery County Police,Property Damage Crash,7/24/2023 21:16,US (State),COLESVILLE RD,County,TIMBERWOOD AVE,OTHER CONVEYANCE,HEAD ON,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,60DCDCA4-D9D8-4A71-923E-A2EE85AFCD41,No,NO APPARENT INJURY,NOT DISTRACTED,MD,C6F8662D-12B3-445B-94A0-75CB9895A60C,DISABLING,TEN OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,West,South,35,No,No,2014,NISSAN,ALTIMA,NO MISUSE,39.02419833,-77.011125,12FA9EE7-3D9E-4FCA-8ECA-E0C888CEF804,OTHER CONVEYANCE,Cross/Enter at Intersection,NO IMPROPER ACTIONS,CURB,NO PED. SIGNAL,MIXED CLOTHING,No,NO APPARENT INJURY,OTHER CONVEYANCE,NONE DETECTED,NONE DETECTED
MCP26080054,230035307,Montgomery County Police,Property Damage Crash,7/24/2023 21:16,US (State),COLESVILLE RD,County,TIMBERWOOD AVE,OTHER CONVEYANCE,HEAD ON,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,7E9893A6-83F3-458A-AD8D-2297D28016B2,No,NO APPARENT INJURY,NOT DISTRACTED,MD,E8A373B2-8456-4FC0-8A24-20951E747AF9,FUNCTIONAL,THREE OCLOCK,THREE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,West,South,35,No,No,2016,HYUNDAI,ELANTRA,NO MISUSE,39.02419833,-77.011125,12FA9EE7-3D9E-4FCA-8ECA-E0C888CEF804,OTHER CONVEYANCE,Cross/Enter at Intersection,NO IMPROPER ACTIONS,CURB,NO PED. SIGNAL,MIXED CLOTHING,No,NO APPARENT INJURY,OTHER CONVEYANCE,NONE DETECTED,NONE DETECTED
MCP26080054,230035307,Montgomery County Police,Property Damage Crash,7/24/2023 21:16,US (State),COLESVILLE RD,County,TIMBERWOOD AVE,OTHER CONVEYANCE,HEAD ON,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,3506970D-D016-499F-8E5F-EDF2348E919E,No,NO APPARENT INJURY,NOT DISTRACTED,MD,7909C0F6-14D6-4E8B-A0A9-6732DDD60038,NO DAMAGE,NON-COLLISION,NON-COLLISION,PASSENGER CAR,MOVING CONSTANT SPEED,North,North,35,No,No,2000,HONDA,CRV,NO MISUSE,39.02419833,-77.011125,12FA9EE7-3D9E-4FCA-8ECA-E0C888CEF804,OTHER CONVEYANCE,Cross/Enter at Intersection,NO IMPROPER ACTIONS,CURB,NO PED. SIGNAL,MIXED CLOTHING,No,NO APPARENT INJURY,OTHER CONVEYANCE,NONE DETECTED,NONE DETECTED
MCP2001001Z,230014394,Montgomery County Police,Fatal Crash,3/25/2023 1:47,US (State),COLUMBIA PIKE,County,HILLWOOD DR,PEDESTRIAN,SINGLE VEHICLE,RAINING,WET,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,ALCOHOL PRESENT,D2F60B63-AC80-4487-A187-373FFFD843AE,No,NO APPARENT INJURY,UNKNOWN,MD,FF551BF5-5529-48A5-ABB6-A7DC1E0F2FC6,FUNCTIONAL,TWELVE OCLOCK,TWELVE OCLOCK,(SPORT) UTILITY VEHICLE,MOVING CONSTANT SPEED,North,North,40,No,No,2021,JEEP,GRAND CHEROKEE,UNKNOWN,39.03240511,-77.00350933,44325907-656B-4816-A845-EA86031CF450,PEDESTRIAN,Walking/Riding w/Traffic,IN ROADWAY IMPROPERLY,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,Yes,FATAL INJURY,PEDESTRIAN,NONE DETECTED,ALCOHOL PRESENT
EJ785600BZ,230047508,Gaithersburg Police Depar,Injury Crash,8/2/2023 18:37,Municipality,KENTLANDS BLVD,Municipality,MARKET ST,PEDESTRIAN,OTHER,CLOUDY,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,NONE DETECTED,8A6DFC9E-5D24-4FC3-B69E-B826FF156318,Yes,NO APPARENT INJURY,NOT DISTRACTED,MD,F60C0310-8A36-46D7-AAB8-E9FA1BB6B48F,SUPERFICIAL,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,East,East,25,No,No,2018,TESLA,SD,NO MISUSE,39.1232753,-77.2360439,A931C563-4A9D-486A-8025-A0ACE268A27F,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,NO PED. SIGNAL,LIGHT CLOTHING,No,SUSPECTED MINOR INJURY,PEDESTRIAN,NONE DETECTED,NONE DETECTED
EJ7809003W,230034946,Gaithersburg Police Depar,Injury Crash,7/22/2023 17:01,County,N SUMMIT AVE,Municipality,PARK AVE,OTHER CONVEYANCE,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,UNKNOWN,6D5A0812-7C7D-422C-9A9C-777A1BADDF70,Unknown,NO APPARENT INJURY,NOT DISTRACTED,MD,E6614E9F-DFE7-48FC-8DB7-3A4B86CDDF26,NO DAMAGE,NON-COLLISION,NON-COLLISION,(SPORT) UTILITY VEHICLE,ENTERING TRAFFIC LANE,Unknown,West,15,No,No,2008,HYUNDAI,SUV,NO MISUSE,39.14494278,-77.19249225,74B7E523-1A69-45EE-B142-7882EBAB01EC,OTHER CONVEYANCE,Walking/Riding w/Traffic,OTHER,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,Unknown,SUSPECTED MINOR INJURY,OTHER CONVEYANCE,NONE DETECTED,UNKNOWN
MCP3255004V,230033617,Montgomery County Police,Injury Crash,7/14/2023 17:32,Municipality,WASHINGTONIAN BLVD,Unknown,ENT. TO WASHINGTONIAN CENTER,PEDESTRIAN,SINGLE VEHICLE,RAINING,WET,DAYLIGHT,STOP SIGN,NONE DETECTED,NONE DETECTED,5B69B97E-3EE3-47C7-836B-4CE3CBF71143,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,FL,6E5206B9-76A1-4BC4-93F4-ABFCFE6E7BB4,SUPERFICIAL,TWELVE OCLOCK,TWELVE OCLOCK,(SPORT) UTILITY VEHICLE,ACCELERATING,North,North,15,No,No,2020,HYUNDAI,SUV,NO MISUSE,39.11871562,-77.20252175,FAE81B70-1CAA-4CA2-9031-5C3F1CD55B57,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,LIGHT CLOTHING,No,SUSPECTED MINOR INJURY,PEDESTRIAN,NONE DETECTED,NONE DETECTED
MCP3255004V,230033617,Montgomery County Police,Injury Crash,7/14/2023 17:32,Municipality,WASHINGTONIAN BLVD,Unknown,ENT. TO WASHINGTONIAN CENTER,PEDESTRIAN,SINGLE VEHICLE,RAINING,WET,DAYLIGHT,STOP SIGN,NONE DETECTED,NONE DETECTED,5B69B97E-3EE3-47C7-836B-4CE3CBF71143,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,FL,6E5206B9-76A1-4BC4-93F4-ABFCFE6E7BB4,SUPERFICIAL,TWELVE OCLOCK,TWELVE OCLOCK,(SPORT) UTILITY VEHICLE,ACCELERATING,North,North,15,No,No,2020,HYUNDAI,SUV,NO MISUSE,39.11871562,-77.20252175,7BC11752-5A89-48DE-8A14-5B1B2D028054,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,PEDESTRIAN,NONE DETECTED,NONE DETECTED
MCP3010008D,230034715,Montgomery County Police,Injury Crash,7/21/2023 9:30,Maryland (State),WISCONSIN AVE,County,BETHESDA AVE,OTHER PEDALCYCLIST,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,F682B4D7-5B33-4966-AAFF-825048EE1E62,Yes,NO APPARENT INJURY,NOT DISTRACTED,CA,73E0F96D-6C51-4634-B92F-235D9E5A7C77,SUPERFICIAL,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,North,East,25,No,No,2023,KIA,SOUL,NO MISUSE,38.98119833,-77.09230667,4F828545-234A-4497-B435-E3E8A35146C7,OTHER PEDALCYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,OBEYED PED. SIGNAL,DARK CLOTHING,No,SUSPECTED MINOR INJURY,OTHER PEDALCYCLIST,NONE DETECTED,NONE DETECTED
MCP23390086,230022456,Montgomery County Police,Injury Crash,5/10/2023 17:01,Municipality,E GUDE DR,Municipality,TAFT ST,PEDESTRIAN,OTHER,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,3660E464-4505-4A40-98FB-194428788196,Yes,NO APPARENT INJURY,UNKNOWN,MD,ED48113C-61B3-44F7-A2C9-63E41C14DA59,NO DAMAGE,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MAKING RIGHT TURN,East,East,35,No,No,2018,TOYOTA,CAMRY,UNKNOWN,39.09669446,-77.1353897,7966200F-DECD-469A-AF74-BFCDDC41F42A,PEDESTRIAN,Walking/Cycling on Sidewalk,NO IMPROPER ACTIONS,SIDEWALK,NO PED. SIGNAL,UNKNOWN,No,POSSIBLE INJURY,PEDESTRIAN,NONE DETECTED,NONE DETECTED
MCP2940006N,230046969,Montgomery County Police,Injury Crash,7/30/2023 14:25,County,BANNOCKBURN DR,County,MACARTHUR BLVD,BICYCLIST,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,F8459B4C-B1FA-40C8-BB04-D96A6D74B3B1,Yes,NO APPARENT INJURY,UNKNOWN,MD,A843BBA2-E42E-47BC-AEE5-A4390DE4FB8B,FUNCTIONAL,TWELVE OCLOCK,TWELVE OCLOCK,(SPORT) UTILITY VEHICLE,MAKING U TURN,South,North,35,No,No,2017,MERZ,TK,NO MISUSE,38.97293233,-77.1414305,C5A5F9D9-0742-4C7D-878C-6231430DC44F,BICYCLIST,Walking/Riding w/Traffic,NO IMPROPER ACTIONS,OTHER,NO PED. SIGNAL,LIGHT CLOTHING,No,SUSPECTED MINOR INJURY,BICYCLIST,NONE DETECTED,NONE DETECTED
MCP3353001G,230048526,Montgomery County Police,Injury Crash,8/9/2023 10:01,County,LLOYDMINSTER DR,County,FALCONBRIDGE TERR,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,NONE DETECTED,C07F63EA-83F6-49E8-8131-A21671CBF55E,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,MD,B57D26F3-215C-4129-AE49-FAC8835914C0,NO DAMAGE,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,West,North,25,No,No,2007,TOYOTA,CAMRY,NO MISUSE,39.10661233,-77.26357183,5524CD55-82ED-4443-9B75-DC956FFA5E8D,PEDESTRIAN,Walking/Riding against Traffic,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,PEDESTRIAN,NONE DETECTED,NONE DETECTED
MCP3353001G,230048526,Montgomery County Police,Injury Crash,8/9/2023 10:01,County,LLOYDMINSTER DR,County,FALCONBRIDGE TERR,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,NONE DETECTED,C07F63EA-83F6-49E8-8131-A21671CBF55E,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,MD,B57D26F3-215C-4129-AE49-FAC8835914C0,NO DAMAGE,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,West,North,25,No,No,2007,TOYOTA,CAMRY,NO MISUSE,39.10661233,-77.26357183,8F0BCDAF-DE1D-4C98-82CF-2013A609DE54,PEDESTRIAN,Walking/Riding against Traffic,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No,NO APPARENT INJURY,PEDESTRIAN,NONE DETECTED,NONE DETECTED
MCP2348006F,230012796,Montgomery County Police,Fatal Crash,3/16/2023 13:28,US (State),COLUMBIA PIKE,County,STEWART LA,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,31A73F78-C51A-45A3-BEAC-480408E0C59A,No,NO APPARENT INJURY,NOT DISTRACTED,MD,EA5C0C0E-556A-4C17-9396-C1A616439E73,SUPERFICIAL,TWO OCLOCK,TWO OCLOCK,(SPORT) UTILITY VEHICLE,MOVING CONSTANT SPEED,North,North,45,No,No,2002,FORD,EXPLORER,NO MISUSE,39.04653583,-76.98675402,B7541278-BD7C-4E05-9056-50239D5CACAD,PEDESTRIAN,Cross/Enter at Intersection,FAILURE TO OBEY TRAFFIC SIGNS SIGNALS OR OFFICER,ON ROADWAY AT CROSSWALK,DISOBEYED PED. SIGNAL,MIXED CLOTHING,Yes,FATAL INJURY,PEDESTRIAN,NONE DETECTED,NONE DETECTED
